# One verdict per published field of the four resources whose fields
# decide what this server can do. `gates api-fields` holds this,
# testdata/api-surface.json and internal/gcal to each other, and runs in
# make check with no network.
#
# `modeled` names a field internal/gcal carries; the gate fails if the
# struct does not have it. `out` says why this server ignores it; the
# gate fails if the struct DOES have it, so the record cannot claim a
# field is ignored while the code reads it.
#
# Methods are the coarse axis (testdata/api-coverage.tsv). This is the
# fine one, and it exists because this API keeps its capability in the
# Event resource: a server can model twelve of its 44 properties and
# still say "we support events". A reason of the form `planned=N` names
# the phase that will model the field.
#
# resource	field	verdict	reason
Event	anyoneCanAddSelf	out	deprecated in Google's own field description
Event	attachments	out	a file on an event belongs to the Drive API and to the server built on it; this one answers when, not what (§1)
Event	attendees	modeled	the guest list, and the reason notify is required on any write that can reach a person (§4.3)
Event	attendeesOmitted	modeled	Google truncated the list; a renderer that ignores it shows a meeting as smaller than it is
Event	birthdayProperties	out	immutable, and only on eventType=birthday. The renderer marks such events so a model does not try to reschedule one (§2.12)
Event	colorId	modeled	resolved to a color name through colors.get, because "colorId 5" tells a person nothing
Event	conferenceData	modeled	read as raw JSON and round-tripped, so a shape this server does not model survives a write; create_event asks for a Meet link through it (§17.3)
Event	created	modeled	shown on an event card
Event	creator	modeled	who made it; with organizer it decides whether an edit or an RSVP is the right call
Event	description	modeled	content, renderer only (§9)
Event	end	modeled	the other half (§4.1)
Event	endTimeUnspecified	modeled	Google invented the end, so a duration computed from it is fiction; the renderer says so
Event	etag	modeled	If-Match on every write, which is how a patch cannot overwrite what it did not see (§4.4)
Event	eventLabelId	out	supersedes colorId and refers to a label defined on the calendar. Labels are a calendar-level surface this server does not manage (see Calendar.labelProperties); revisit with color writing
Event	eventType	modeled	a birthday or an out-of-office is not a meeting, and the type cannot be changed after creation (§2.12)
Event	extendedProperties	out	an application's private key-value store on an event. This server has no state to keep there, and reading another application's keys is not something to do by default
Event	focusTimeProperties	out	only on eventType=focusTime, which this server reads and marks but does not create (§2.12)
Event	gadget	out	deprecated by Google, and per its own description now only carries birthday calendar metadata
Event	guestsCanInviteOthers	modeled	what a guest may do; a write that drops it widens or narrows access silently
Event	guestsCanModify	modeled	as guestsCanInviteOthers
Event	guestsCanSeeOtherGuests	modeled	as guestsCanInviteOthers, and this one decides whether the guest list is visible at all
Event	hangoutLink	out	read-only and superseded by conferenceData, which is modeled
Event	htmlLink	modeled	the link a person opens to see the event in Calendar
Event	iCalUID	modeled	accepted on lookup through events.list, never used as an address: one uid covers a whole series (§6.2)
Event	id	modeled	the address, and client-generated on insert so a retry is nearly idempotent (§2.11)
Event	kind	out	a constant string naming the resource type; the code already knows what it asked for
Event	location	modeled	content, renderer only (§9)
Event	locked	out	read-only, and a locked event refuses the write anyway — the API's refusal says more than a pre-check would
Event	organizer	modeled	who owns the event, which is what respond_to_event and move_event turn on
Event	originalStartTime	modeled	identifies an instance even after it has been moved, which is why it addresses one (§6.2)
Event	outOfOfficeProperties	out	only on eventType=outOfOffice, read and marked but not created (§2.12)
Event	privateCopy	out	immutable, and set by propagation machinery this server does not take part in
Event	recurrence	modeled	the RRULE, EXDATE and RDATE lines, parsed by internal/recur and sent as the caller's own strings (§6.4)
Event	recurringEventId	modeled	names the series an instance belongs to, and is what makes a scope required on a write (§4.2)
Event	reminders	modeled	the per-event override of the calendar's defaults
Event	sequence	modeled	the iCalendar revision; carried through a patch so a write does not reset it
Event	source	out	the page or message an event was created from, visible only to its creator; no tool here shows provenance
Event	start	modeled	half of the time model: date XOR dateTime, never converted (§4.1)
Event	status	modeled	canceled events are hidden by default and a canceled instance is how one date leaves a series (§2.13)
Event	summary	modeled	the title; content, so it reaches a renderer and never a log (§9)
Event	transparency	modeled	an event marked free does not make somebody busy: the reason availability cannot come from a list (§4.6)
Event	updated	modeled	shown on an event card, and the answer to "has this changed since I looked"
Event	visibility	modeled	a private event reads differently depending on the caller's role, and the renderer must not imply it read the details
Event	workingLocationProperties	out	only on eventType=workingLocation. It is the API's nearest thing to working hours and is not one: §17.2 ships a working-hours mask the CALLER states, and reading somebody's office days off this field would be a different claim
Calendar	autoAcceptInvitations	out	only meaningful on a Workspace resource calendar, which this server does not administer (§1)
Calendar	conferenceProperties	modeled	which conference types a calendar allows. create_event refuses a Meet link on a calendar whose published list does not name hangoutsMeet, rather than letting Google answer 200 with a failed request and an event that exists (§17.3)
Calendar	dataOwner	out	read-only, and an email address: it is exactly the kind of field §9 keeps out of logs and results, and nothing here needs it
Calendar	description	modeled	shown by get_calendar
Calendar	etag	modeled	If-Match on a calendar patch (§4.4)
Calendar	id	modeled	the address of a calendar (§6.1)
Calendar	kind	out	a constant string naming the resource type
Calendar	labelProperties	out	calendar-level label definitions, which Event.eventLabelId refers to. Managing label vocabularies is not a scheduling job (§1)
Calendar	location	modeled	shown by get_calendar
Calendar	summary	modeled	the title, and what a title resolution matches against
